epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,543.68,1.18792,2.29005,1.4975,1.41984,0,0.53974,0.43278,0.42913,0.23749,0.50839,0.41043,0.38944,0.20096,1.69753,2.91396,2.16199,1.87438,0,0.000302745,0.000302745,0.000302745
2,1059.82,1.25109,2.43297,1.65186,1.46274,0,0.51352,0.42113,0.41753,0.23319,0.49923,0.40104,0.3877,0.19586,1.71014,2.92707,2.22354,1.88714,0,0.000590753,0.000590753,0.000590753
3,1574.89,1.27817,2.49493,1.7267,1.49674,0,0.52507,0.40576,0.41322,0.23192,0.49892,0.37842,0.37884,0.19672,1.70484,2.95667,2.23519,1.90826,0,0.000863762,0.000863762,0.000863762
4,2090.27,1.30373,2.54914,1.79929,1.52287,0,0.51415,0.42334,0.41429,0.23438,0.49294,0.39587,0.37867,0.19241,1.67262,2.92482,2.24696,1.86318,0,0.000841507,0.000841507,0.000841507
5,2604.83,1.29066,2.51662,1.76413,1.5156,0,0.50992,0.4252,0.42298,0.24068,0.49957,0.40042,0.38956,0.20398,1.66973,2.95,2.17467,1.88003,0,0.000819009,0.000819009,0.000819009
6,3119.87,1.27188,2.49462,1.73751,1.49731,0,0.51641,0.43704,0.44159,0.25299,0.49259,0.41128,0.40298,0.21058,1.64951,2.90087,2.14894,1.82378,0,0.000796511,0.000796511,0.000796511
7,3634.71,1.2593,2.46899,1.7119,1.48592,0,0.52868,0.43402,0.43481,0.24922,0.49992,0.41331,0.39969,0.20998,1.64794,2.88147,2.16962,1.84034,0,0.000774013,0.000774013,0.000774013
8,4149.06,1.25098,2.44588,1.66859,1.47363,0,0.5407,0.43997,0.44553,0.25584,0.53705,0.40822,0.4074,0.21145,1.65116,2.91616,2.15517,1.84091,0,0.000751516,0.000751516,0.000751516
9,4664.28,1.24233,2.41412,1.65076,1.46742,0,0.53061,0.44447,0.44625,0.25907,0.49919,0.41602,0.40517,0.21535,1.63779,2.85197,2.13489,1.82686,0,0.000729018,0.000729018,0.000729018
10,5179.31,1.22645,2.4017,1.61858,1.45431,0,0.5466,0.44616,0.45012,0.26212,0.54978,0.40555,0.41374,0.2206,1.63984,2.85166,2.11935,1.82991,0,0.00070652,0.00070652,0.00070652
11,5694.09,1.20883,2.35789,1.58506,1.442,0,0.55437,0.43497,0.44665,0.26061,0.52762,0.41319,0.40981,0.21682,1.64659,2.87996,2.12988,1.85627,0,0.000684022,0.000684022,0.000684022
12,6209.41,1.20993,2.35451,1.5715,1.43801,0,0.53703,0.44977,0.45243,0.26574,0.53939,0.41451,0.41543,0.22121,1.6134,2.84646,2.09594,1.79801,0,0.000661525,0.000661525,0.000661525
13,6724.02,1.19223,2.32895,1.53552,1.42504,0,0.55242,0.45243,0.4583,0.27376,0.54147,0.43246,0.42822,0.22775,1.61661,2.85166,2.08506,1.80629,0,0.000639027,0.000639027,0.000639027
14,7238.48,1.17858,2.30247,1.51527,1.40915,0,0.57787,0.46487,0.4705,0.27889,0.54637,0.44238,0.42804,0.23109,1.61243,2.85946,2.04759,1.79689,0,0.000616529,0.000616529,0.000616529
15,7753.03,1.16684,2.28033,1.48381,1.40335,0,0.58055,0.45115,0.46742,0.27852,0.55906,0.43325,0.43208,0.23112,1.61001,2.86126,2.08078,1.80355,0,0.000594031,0.000594031,0.000594031
16,8267.24,1.15138,2.24483,1.45464,1.39049,0,0.58511,0.4637,0.46702,0.27661,0.55927,0.43345,0.43086,0.2297,1.61114,2.85619,2.06633,1.80378,0,0.000571534,0.000571534,0.000571534
17,8781.26,1.14904,2.24507,1.43314,1.38902,0,0.56104,0.46721,0.47127,0.28045,0.54775,0.4308,0.42946,0.23081,1.61659,2.87184,2.06263,1.80426,0,0.000549036,0.000549036,0.000549036
18,9295.66,1.13378,2.20286,1.40632,1.37034,0,0.57783,0.46181,0.46658,0.27875,0.56991,0.43456,0.43479,0.23281,1.61363,2.87313,2.06976,1.80913,0,0.000526538,0.000526538,0.000526538
19,9810.69,1.13527,2.19763,1.38798,1.37238,0,0.58956,0.46584,0.47623,0.28445,0.57293,0.44264,0.44049,0.23552,1.60372,2.84464,2.03665,1.79686,0,0.00050404,0.00050404,0.00050404
20,10325,1.12589,2.18345,1.37736,1.36414,0,0.54597,0.48121,0.47188,0.28528,0.53417,0.43998,0.43221,0.23755,1.60234,2.82981,2.05272,1.79954,0,0.000481543,0.000481543,0.000481543
21,10839.7,1.10295,2.1515,1.32262,1.34645,0,0.5972,0.45688,0.47347,0.28004,0.56632,0.43229,0.43314,0.23355,1.62341,2.86208,2.04848,1.81906,0,0.000459045,0.000459045,0.000459045
